DATE,CPIAUCSL_PC1
2013-01-01,1.68406
2013-02-01,2.01814
2013-03-01,1.51875
2013-04-01,1.13881
2013-05-01,1.39039
2013-06-01,1.71579
2013-07-01,1.88547
2013-08-01,1.53881
2013-09-01,1.09473
2013-10-01,0.87680
2013-11-01,1.23287
2013-12-01,1.51284
2014-01-01,1.55776
2014-02-01,1.12047
2014-03-01,1.61269
2014-04-01,2.01513
2014-05-01,2.16695
2014-06-01,2.05898
2014-07-01,1.97424
2014-08-01,1.71510
2014-09-01,1.68405
2014-10-01,1.60954
2014-11-01,1.23152
2014-12-01,0.65312
2015-01-01,-0.22993
2015-02-01,-0.08703
2015-03-01,-0.02203
2015-04-01,-0.10403
2015-05-01,0.03503
2015-06-01,0.17957
2015-07-01,0.22569
2015-08-01,0.24130
2015-09-01,0.00884
2015-10-01,0.12762
2015-11-01,0.43632
2015-12-01,0.63872
2016-01-01,1.23750
2016-02-01,0.84728
2016-03-01,0.89162
2016-04-01,1.17263
2016-05-01,1.07848
2016-06-01,1.07929
2016-07-01,0.86836
2016-08-01,1.05532
2016-09-01,1.54864
2016-10-01,1.68592
2016-11-01,1.68433
2016-12-01,2.05080
2017-01-01,2.51039
2017-02-01,2.81036
2017-03-01,2.44120
2017-04-01,2.17622
2017-05-01,1.85634
2017-06-01,1.64057
2017-07-01,1.72511
2017-08-01,1.92812
2017-09-01,2.18057
2017-10-01,2.02076
2017-11-01,2.17249
2017-12-01,2.12993
2018-01-01,2.15132
2018-02-01,2.26347
2018-03-01,2.33095
2018-04-01,2.47100
2018-05-01,2.78192
2018-06-01,2.80755
2018-07-01,2.85412
2018-08-01,2.64292
2018-09-01,2.33206
2018-10-01,2.49203
2018-11-01,2.14733
2018-12-01,2.00238
2019-01-01,1.48759
2019-02-01,1.51886
2019-03-01,1.88319
2019-04-01,2.00058
2019-05-01,1.79591
2019-06-01,1.67119
2019-07-01,1.82633
2019-08-01,1.73764
2019-09-01,1.68450
2019-10-01,1.73397
2019-11-01,2.09229
2019-12-01,2.31953
2020-01-01,2.51226
2020-02-01,2.33974
2020-03-01,1.52314
2020-04-01,0.34988
2020-05-01,0.21622
2020-06-01,0.70177
2020-07-01,1.01876
2020-08-01,1.30060
2020-09-01,1.37308
2020-10-01,1.20317
2020-11-01,1.16954
2020-12-01,1.30495
2021-01-01,1.39510
2021-02-01,1.67293
2021-03-01,2.61863
2021-04-01,4.14874
2021-05-01,4.92636
2021-06-01,5.31509
2021-07-01,5.25758
2021-08-01,5.17531
2021-09-01,5.36101
2021-10-01,6.21904
2021-11-01,6.86253
2021-12-01,7.17658
2022-01-01,7.56977
2022-02-01,7.94892
2022-03-01,8.54743
2022-04-01,8.25186
2022-05-01,8.53300
2022-06-01,8.98974
2022-07-01,8.44982
2022-08-01,8.21881
2022-09-01,8.19827
2022-10-01,7.75194
2022-11-01,7.11947
2022-12-01,6.41150
