DATE,CPILFESL_PC1
2013-01-01,1.90980
2013-02-01,1.98874
2013-03-01,1.88902
2013-04-01,1.71556
2013-05-01,1.64555
2013-06-01,1.62310
2013-07-01,1.70022
2013-08-01,1.78211
2013-09-01,1.75194
2013-10-01,1.68684
2013-11-01,1.74167
2013-12-01,1.74086
2014-01-01,1.60703
2014-02-01,1.55481
2014-03-01,1.64566
2014-04-01,1.82106
2014-05-01,1.94553
2014-06-01,1.92286
2014-07-01,1.84496
2014-08-01,1.73640
2014-09-01,1.74095
2014-10-01,1.81763
2014-11-01,1.74159
2014-12-01,1.62242
2015-01-01,1.63163
2015-02-01,1.68808
2015-03-01,1.74538
2015-04-01,1.80283
2015-05-01,1.75094
2015-06-01,1.77727
2015-07-01,1.83463
2015-08-01,1.85063
2015-09-01,1.89710
2015-10-01,1.91353
2015-11-01,1.99743
2015-12-01,2.07151
2016-01-01,2.14502
2016-02-01,2.22257
2016-03-01,2.14243
2016-04-01,2.15665
2016-05-01,2.25456
2016-06-01,2.26221
2016-07-01,2.17014
2016-08-01,2.30873
2016-09-01,2.27112
2016-10-01,2.20456
2016-11-01,2.14542
2016-12-01,2.19712
2017-01-01,2.25021
2017-02-01,2.23535
2017-03-01,2.04585
2017-04-01,1.89657
2017-05-01,1.73709
2017-06-01,1.69912
2017-07-01,1.67696
2017-08-01,1.65524
2017-09-01,1.59539
2017-10-01,1.75964
2017-11-01,1.73761
2017-12-01,1.77017
2018-01-01,1.89127
2018-02-01,1.87770
2018-03-01,2.12278
2018-04-01,2.15064
2018-05-01,2.27300
2018-06-01,2.24552
2018-07-01,2.26760
2018-08-01,2.12089
2018-09-01,2.19768
2018-10-01,2.12641
2018-11-01,2.21538
2018-12-01,2.24853
2019-01-01,2.17943
2019-02-01,2.14109
2019-03-01,2.06656
2019-04-01,2.09134
2019-05-01,1.97243
2019-06-01,2.07460
2019-07-01,2.16570
2019-08-01,2.32114
2019-09-01,2.33001
2019-10-01,2.33781
2019-11-01,2.35470
2019-12-01,2.29060
2020-01-01,2.27484
2020-02-01,2.37991
2020-03-01,2.10309
2020-04-01,1.45002
2020-05-01,1.23714
2020-06-01,1.17988
2020-07-01,1.55462
2020-08-01,1.71027
2020-09-01,1.70658
2020-10-01,1.62660
2020-11-01,1.66411
2020-12-01,1.62394
2021-01-01,1.39634
2021-02-01,1.27561
2021-03-01,1.64490
2021-04-01,2.96054
2021-05-01,3.77946
2021-06-01,4.41846
2021-07-01,4.20349
2021-08-01,3.95059
2021-09-01,4.02008
2021-10-01,4.58370
2021-11-01,4.97320
2021-12-01,5.50455
2022-01-01,6.06053
2022-02-01,6.45242
2022-03-01,6.47607
2022-04-01,6.15716
2022-05-01,6.01755
2022-06-01,5.90342
2022-07-01,5.90176
2022-08-01,6.29980
2022-09-01,6.64045
2022-10-01,6.29494
2022-11-01,5.96310
2022-12-01,5.68051
