DATE,IMPGS
2013-01-01,2755.277
2013-04-01,2759.783
2013-07-01,2767.183
2013-10-01,2783.259
2014-01-01,2853.69
2014-04-01,2900.572
2014-07-01,2888.549
2014-10-01,2906.969
2015-01-01,2825.476
2015-04-01,2809.968
2015-07-01,2798.806
2015-10-01,2745.517
2016-01-01,2693.639
2016-04-01,2711.306
2016-07-01,2751.229
2016-10-01,2799.145
2017-01-01,2873.148
2017-04-01,2903.18
2017-07-01,2916.022
2017-10-01,3034.004
2018-01-01,3093.299
2018-04-01,3105.995
2018-07-01,3153.747
2018-10-01,3171.622
2019-01-01,3132.539
2019-04-01,3165.41
2019-07-01,3117.952
2019-10-01,3050.824
2020-01-01,2929.759
2020-04-01,2350.926
2020-07-01,2801.482
2020-10-01,3027.199
2021-01-01,3176.982
2021-04-01,3340.114
2021-07-01,3458.783
2021-10-01,3685.956
2022-01-01,3925.742
2022-04-01,4093.663
2022-07-01,3988.447
2022-10-01,3897.402
